company,location,fire,��ü �η� �� ���� ���� ����,industry,country,ai_bool
Panda Squad,SF Bay Area,6,75%,Consumer,United States,FALSE
HopSkipDrive,Los Angeles,8,10%,Transportat,,FALSE
Help.com,Austin,16,100%,Support,United States,FALSE
Service,Los Angeles,,100%,Travel,United States,FALSE
Inspirato,Denver,130,22%,Travel,United States,FALSE
Flytedesk,Boulder,4,20%,Marketing,United States,FALSE
Tuft & Needle,Phoenix,,,Retail,United States,FALSE
Popin,New York City,,100%,Fitness,United States,FALSE
Anyvision,Tel Aviv Non-U.S.,,,Security,Israel,TRUE
Lola,Boston,34,,Travel,United States,FALSE
Remote Year,Chicago,50,50%,Travel,United States,FALSE
Ejento,SF Bay Area,84,100%,Recruiting,United States,FALSE
Bounce,Bengaluru Non-U.S.,120,,Transportat,,FALSE
Flywheel Sports,New York City,784,98%,Fitness,United States,FALSE
Peek,Salt Lake City,45,,Travel,United States,FALSE
Service,Los Angeles,,100%,Travel,United States,FALSE
Yonder,Austin,18,,Media,United States,FALSE
Vacasa,Portland,,,Travel,United States,FALSE
CTO.ai,Vancouver Non-U.S.,30,50%,Infrastructu,,TRUE
The Guild,Austin,38,22%,Travel,United States,FALSE
Compass,New York City,375,15%,Real Estate,United States,FALSE
Convene,New York City,150,18%,Real Estate,United States,FALSE
Leafly,Seattle,91,50%,Retail,United States,FALSE
Drip,Salt Lake City,20,,Marketing,United States,FALSE
GrayMeta,Los Angeles,20,40%,Data,United States,TRUE
Triplebyte,SF Bay Area,15,17%,Recruiting,United States,FALSE
Ladder Life,SF Bay Area,13,25%,Finance,United States,FALSE
Cabin,SF Bay Area,,20%,Travel,United States,FALSE
Eight Sleep,New York City,,20%,Retail,United States,FALSE
Zwift,Los Angeles,,,Fitness,United States,FALSE
Sonder,SF Bay Area,400,33%,Travel,United States,FALSE
Takl,Nashville,130,,Consumer,United States,FALSE
Zeus Living,SF Bay Area,80,30%,Real Estate,United States,FALSE
Foodsby,Minneapolis,87,67%,Food,United States,FALSE
Flowr,Toronto Non-U.S.,,25%,Retail,Canada,FALSE
Peerfit,Tampa Bay,,40%,HR,United States,FALSE
