제목,가격,판매지수,출판년월
프로젝트 헤일메리,"19,800","판매지수 655,119",2026년 02월
품격 있는 대화를 위한 지식 브리핑,"22,500","판매지수 163,380",2026년 04월
안녕이라 그랬어,"15,120","판매지수 559,926",2025년 06월
타몬 군 지금 어느 쪽?! 12,"5,400","판매지수 74,220",2026년 05월
"2026 큰별쌤 최태성의 별별한국사 기출 500제 한국사능력검정시험 심화(1,2,3급)","19,800","판매지수 319,287",2025년 12월
니체의 초월자,"15,210","판매지수 281,919",2025년 10월
흔한남매 22,"15,120","판매지수 209,625",2026년 04월
바다에서 온 소년,"17,820","판매지수 78,414",2026년 04월
내면 근력,"19,800","판매지수 87,186",2026년 04월
인생을 위한 최소한의 생각,"17,820","판매지수 309,213",2026년 02월
"2026 큰별쌤 최태성의 별별한국사 한국사능력검정시험 심화(1,2,3급) 하","16,650","판매지수 397,683",2025년 12월
사춘기 엄마의 오장육부,"16,020","판매지수 72,477",2026년 04월
구멍청,"15,300","판매지수 95,457",2026년 05월
모순,"11,700","판매지수 467,991",2013년 04월
"2026 큰별쌤 최태성의 별별한국사 한국사능력검정시험 심화(1,2,3급) 상","17,100","판매지수 425,346",2025년 12월
2026 선재국어 최우선 봉투 모의고사,"22,500","판매지수 181,329",2026년 04월
완벽한 원시인,"19,800","판매지수 194,091",2026년 03월
싯다르타,"7,200","판매지수 199,374",2002년 01월
21세기 대군부인 대본집 세트,"54,000","판매지수 144,297",2026년 05월
나쁜 일이 있어도 나쁜 날은 아니야,"15,120","판매지수 90,813",2026년 01월
제미나이 주식투자,"18,000","판매지수 71,256",2026년 04월
괴테는 모든 것을 말했다,"15,300","판매지수 414,846",2025년 11월
체호프 단편선,"8,100","판매지수 42,081",2002년 11월
위버멘쉬,"16,020","판매지수 424,260",2025년 03월
박곰희 연금 부자 수업,"18,900","판매지수 541,560",2025년 06월
누구나 오를 종목을 찾는 급등의 법칙,"22,500","판매지수 32,643",2026년 05월
자몽살구클럽,"10,800","판매지수 350,778",2025년 07월
무례한 세상에서 나를 지키는 법,"17,820","판매지수 162,768",2026년 03월
ETS 토익 정기시험 기출문제집 1000 Vol. 5 RC,"19,800","판매지수 233,910",2025년 12월
백지 앞에서,"15,750","판매지수 63,411",2026년 04월
2026 심우철 실전 동형 모의고사 Season 4,"13,500","판매지수 24,720",2026년 05월
ETS 토익 정기시험 기출문제집 1000 Vol. 5 LC,"19,800","판매지수 217,701",2025년 12월
아름다운 초저녁달 10,"5,400","판매지수 20,460",2026년 05월
포켓몬 생태도감,"13,500","판매지수 81,480",2026년 04월
이향인,"15,210","판매지수 91,275",2026년 03월
생각하라 그리고 부자가 되어라,"16,920","판매지수 55,494",2026년 04월
말하지 않고 말하기,"21,600","판매지수 24,252",2026년 05월
